182	1
266	7
90	22
240	2
53	0
25	21
129	1
54	0
369	0
39	5
386	0
315	1
342	1
212	15
173	1
213	458
6	3
42	4
28	0
269	29
223	6
218	13
156	0
206	19
292	14
341	1
132	27
319	0
283	0
11	25
387	0
134	6
288	39
325	3
191	6
47	0
128	14
232	314
320	0
326	0
97	4
401	0
20	1
366	1
19	1
61	1
181	1
308	4
250	1
126	15
110	0
105	187
334	335
229	261
1	0
45	126
375	1
65	29
172	7
144	3
58	5
347	1
87	55
291	27
286	18
153	450
158	0
318	1
205	36
104	0
23	0
268	3
196	4
131	32
179	85
332	0
379	0
89	33
360	12
118	0
350	0
244	1
345	12
130	1
399	4
346	3
31	69
195	6
343	6
243	4
157	0
287	51
323	40
171	10
220	4
92	14
396	0
300	16
72	2
376	1
257	0
226	4
160	15
168	1
122	7
395	0
24	0
349	0
167	5
270	19
12	15
51	1
64	213
84	28
362	1
139	15
317	1
312	1
276	7
114	16
76	1
310	13
98	1
59	6
281	1
256	0
82	0
322	8
242	42
314	25
272	2
336	105
35	1
365	0
30	1
294	269
374	1
313	45
124	113
101	1
21	2
339	72
194	2
277	11
403	0
344	2
301	0
397	0
227	77
154	421
26	16
264	18
3	40
324	29
60	3
230	212
80	1
189	1
55	3
116	1
91	27
141	0
210	470
198	1
170	1
57	4
351	81
148	0
331	0
174	0
400	9
249	0
262	88
119	4
33	1
255	0
103	0
176	1
259	7
7	2
111	0
247	1
13	6
338	1
289	36
389	0
373	0
62	1
381	1
245	10
27	0
364	1
56	3
216	0
4	28
239	6
16	20
32	25
327	17
260	3
390	1
316	1
355	3
290	26
393	0
402	0
137	1
151	49
5	4
95	1
235	0
161	29
81	0
284	1
37	27
102	2
309	18
113	38
193	3
36	0
138	2
357	449
246	3
340	49
202	9
200	0
391	0
233	105
367	0
50	24
44	0
252	0
224	3
228	29
298	15
15	36
49	48
74	3
127	28
150	0
330	16
175	1
68	0
203	44
263	15
208	12
352	48
2	1
183	3
358	342
136	16
237	103
251	0
207	21
296	4
100	7
241	35
398	4
99	15
359	16
353	4
274	17
143	4
238	127
209	535
197	3
9	9
304	0
52	1
258	0
145	0
275	15
201	15
63	198
253	1
333	509
261	193
371	2
293	273
159	26
17	0
14	2
337	2
186	5
149	0
152	36
66	22
385	1
219	6
120	3
221	10
392	1
163	3
377	0
34	1
299	43
307	4
248	2
77	21
96	0
279	457
78	11
188	12
94	346
278	2
363	1
133	7
214	326
106	195
329	29
356	1
115	3
180	65
67	1
177	0
146	0
165	2
8	2
199	1
187	17
311	3
361	1
321	15
297	22
140	7
125	21
142	0
372	0
185	9
285	37
306	2
121	8
166	1
107	1
305	2
265	8
348	1
225	6
335	118
46	90
83	36
204	27
217	26
79	3
273	15
18	0
40	1
73	7
10	4
75	0
192	4
384	1
231	463
267	7
280	372
93	436
222	1
155	0
190	1
383	2
178	0
135	22
328	13
295	12
382	0
48	0
41	5
86	17
211	46
71	2
394	1
368	0
271	12
380	1
234	92
184	3
88	41
354	3
169	1
85	29
302	0
147	0
282	1
388	1
70	2
254	0
112	1
123	110
69	2
303	1
109	0
370	0
162	17
38	27
404	1
164	1
22	1
29	2
378	0
215	1
43	1
108	1
236	0
117	0
total time:	13302
